Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Firefox 59.0,,2019-01-05 16:49:08,2019-01-05 16:49:25,16.560s,PASSED
,,,,,,
Test Cases/testcase1-from sridaran,Firefox 59.0,,2019-01-05 16:49:08,2019-01-05 16:49:25,16.301s,PASSED
"openBrowser("""")",Firefox 59.0,,2019-01-05 16:49:09,2019-01-05 16:49:22,12.715s,PASSED
"navigateToUrl(""http://www.facebook.com"")",Firefox 59.0,,2019-01-05 16:49:22,2019-01-05 16:49:23,1.780s,PASSED
closeBrowser(),Firefox 59.0,,2019-01-05 16:49:23,2019-01-05 16:49:25,1.495s,PASSED
